"19/05/2016;11:17:19","ZaskiaMecca","untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"18/05/2016","20:52:20","ZaskiaMecca","untuk order (pilih salah satu) sms/whatsapp ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada keep/booking barang, apabila barang habis, customer bisa ganti barang lain/refund uang. proses refund kurang lebih 7 hari kerja di hari selasa/jumat. - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - dimohon membaca info album sebelum melakukan orderan.  - order = sabar - resi bisa diminta paling cepat h+2 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk pengiriman jakarta kami menggunakan pick me up (same day service) yaitu barang dikirim dan sampai di hari yang sama, dgn biaya 10rb/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"18/05/2016","15:05:05","ZaskiaMecca","assalamualaikum surabaya yuk ke surabaya hijab fashion festival di royal plaza tanggal 17-22 mei 2016. meccanism ada di booth 2! ditunggu yaa"
"18/05/2016","13:04:50","ZaskiaMecca","untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"16/05/2016","23:45:34","ZaskiaMecca","elsafa 110.000  bahan: spandex rayon kombinasi ceruty... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"16/05/2016","23:34:25","ZaskiaMecca","elsafa 110.000  bahan: spandex rayon kombinasi ceruty... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"15/05/2016","13:03:20","ZaskiaMecca","elsa 110.000  bahan: spandex rayon ... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"15/05/2016","12:41:47","ZaskiaMecca","caroline cardi harga : 245.000 bahan : wolfis panjang cardi : 75cm  panjang tangan :  60cm ... lebar lengan : 22cm untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"15/05/2016","8:46:16","ZaskiaMecca","haloo assalamualaikum smile emotikon buat yg masih ragu apakah fanpage ini real account atau bukan bisa liat di bio ig zaskiadyamecca yaa ðŸ˜Š untuk yang sempat ragu untuk order disini semoga bs lbh yakin skrg yaaa selamat belanjaaa ðŸ˜˜ðŸ˜˜ðŸ˜˜"
"15/05/2016","8:45:19","ZaskiaMecca","new alaia harga : 110.000 bahan: spandex rayon kombinasi ceruty... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"15/05/2016","8:44:31","ZaskiaMecca","darana harga : 230.000 panjang baju kanan: 74cm panjang baju kiri: 90cm lingkar dada: 50x2=100cm... lebar bahu: 15cm lingkar ketiak: 23x2=46cm panjang lengan: 60cm untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
